epoch,baseline_train_accuracy_attempt_1,free_prop_train_accuracy_attempt_1,baseline_train_accuracy_attempt_2,free_prop_train_accuracy_attempt_2,baseline_train_accuracy_attempt_3,free_prop_train_accuracy_attempt_3,baseline_train_accuracy_attempt_4,free_prop_train_accuracy_attempt_4,baseline_train_accuracy_attempt_5,free_prop_train_accuracy_attempt_5,baseline_train_accuracy_attempt_6,free_prop_train_accuracy_attempt_6,baseline_train_accuracy_attempt_7,free_prop_train_accuracy_attempt_7,baseline_train_accuracy_attempt_8,free_prop_train_accuracy_attempt_8,baseline_train_accuracy_attempt_9,free_prop_train_accuracy_attempt_9,baseline_train_accuracy_attempt_10,free_prop_train_accuracy_attempt_10
1,89.49000549316406,88.3933334350586,89.46833801269531,88.38666534423828,89.50333404541016,88.78499603271484,89.86499786376953,88.6866683959961,90.0,88.4183349609375,89.54000091552734,88.663330078125,89.62332916259766,88.40666198730469,90.04000091552734,88.40167236328125,90.15833282470703,88.34333801269531,89.50499725341797,88.32333374023438
2,94.77999877929688,94.09666442871094,94.54666137695312,93.80000305175781,94.64167022705078,93.92166900634766,94.64666748046875,94.27999877929688,94.81499481201172,94.26166534423828,94.92833709716797,94.04167175292969,94.70833587646484,93.80000305175781,94.75333404541016,93.9000015258789,94.93000030517578,93.7316665649414,94.54000091552734,93.8499984741211
3,96.0633316040039,95.48332977294922,95.85833740234375,95.2683334350586,95.84500122070312,95.40833282470703,96.06666564941406,95.51000213623047,95.97833251953125,95.58000183105469,96.15166473388672,95.45166778564453,96.02166748046875,95.29666900634766,95.93333435058594,95.35833740234375,96.13999938964844,95.28166961669922,95.77999877929688,95.39833068847656
4,96.78666687011719,96.31999969482422,96.64666748046875,96.19499969482422,96.59666442871094,96.27999877929688,96.76499938964844,96.28833770751953,96.70166015625,96.45999908447266,96.80166625976562,96.30166625976562,96.75333404541016,96.20000457763672,96.60833740234375,96.26499938964844,96.8516616821289,96.13833618164062,96.59833526611328,96.28666687011719
5,97.26166534423828,96.8550033569336,97.11666870117188,96.80500030517578,97.11666870117188,96.88999938964844,97.32666778564453,96.85333251953125,97.17333221435547,97.00333404541016,97.2249984741211,96.89666748046875,97.2750015258789,96.82666778564453,97.09833526611328,96.92500305175781,97.33000183105469,96.79833221435547,97.13500213623047,96.89666748046875
6,97.5999984741211,97.2683334350586,97.51333618164062,97.22833251953125,97.47833251953125,97.31500244140625,97.7316665649414,97.25833892822266,97.5616683959961,97.38666534423828,97.57333374023438,97.25833892822266,97.61000061035156,97.28166198730469,97.51499938964844,97.34500122070312,97.69499969482422,97.22166442871094,97.58499908447266,97.38166809082031
7,97.90833282470703,97.57833862304688,97.79000091552734,97.55833435058594,97.79833221435547,97.56999969482422,97.99666595458984,97.57833862304688,97.88333129882812,97.70166778564453,97.87166595458984,97.54166412353516,97.93000030517578,97.65333557128906,97.75833129882812,97.62833404541016,97.9816665649414,97.51499938964844,97.8699951171875,97.72833251953125
8,98.13166809082031,97.84833526611328,98.05166625976562,97.83833312988281,98.0433349609375,97.84166717529297,98.21500396728516,97.86333465576172,98.12166595458984,97.95833587646484,98.09166717529297,97.8116683959961,98.20999908447266,97.90499877929688,98.01667022705078,97.91500091552734,98.18000030517578,97.77833557128906,98.06999969482422,97.95500183105469
9,98.32666778564453,98.09333038330078,98.29999542236328,98.06666564941406,98.2699966430664,98.10333251953125,98.45500183105469,98.09166717529297,98.3566665649414,98.14166259765625,98.29833221435547,98.0050048828125,98.39666748046875,98.12166595458984,98.24333190917969,98.11333465576172,98.39833068847656,98.07166290283203,98.29166412353516,98.17166900634766
10,98.51333618164062,98.30667114257812,98.53500366210938,98.25833129882812,98.42333221435547,98.3116683959961,98.63166809082031,98.28666687011719,98.5199966430664,98.34166717529297,98.44499969482422,98.2249984741211,98.6050033569336,98.31832885742188,98.4383316040039,98.36000061035156,98.5433349609375,98.30333709716797,98.47000122070312,98.3550033569336
